,上映日期,片名,类型,制片国家/地区,想看,ID,导演,主演
0,05月31日,哥斯拉2：怪兽之王,动作 / 科幻 / 冒险,美国,40734人,25890017,迈克尔·道赫蒂,维拉·法米加|米莉·波比·布朗|章子怡|莎莉·霍金斯|布莱德利·惠特福德|查尔斯·丹斯|凯尔·钱德勒|大卫·斯特雷泽恩|小奥谢拉·杰克逊|托马斯·米德蒂奇|希·庞德|安东尼·拉莫斯|渡边谦|艾莎·辛德斯|杰森·莱尔斯|乔纳森·霍华德|莱尔·布罗卡托|兰德尔·P·海文斯|T·C·马特恩|吉米·冈萨雷斯|萨莎·里翁达|文斯·福斯特|贾斯蒂斯·利克|菲奥娜·哈丁汉姆|露西·卡罗尔|约书亚·利瑞|艾伦·马克森|肯尼斯·以色列|阿尔·维森特|塞西尔·M·亨利|迈克尔·大卫·育尔|本杰明·韦弗|卡梅伦·布鲁姆布罗|帕蒂·舍尔哈斯|理查德·多顿|詹姆斯·斯特林|麦克斯威尔·海史密斯|贾斯汀·斯劳特|肖恩·索斯|马科·查卡|蒂莫西·卡尔
1,05月31日,尺八·一声一世,纪录片 / 音乐,中国大陆,5305人,27185648,聿馨,佐藤康夫|小凑昭尚|蔡鸿文|徐浩鹏|海山|三桥贵风|星梵竹|三冢幸彦|梁文道|陆川|龚琳娜
2,05月31日,卡拉斯：为爱而声,纪录片,法国,2047人,27089205,汤姆·沃尔夫,玛丽亚·卡拉斯|维托里奥·德·西卡|亚里士多德·奥纳西斯|皮埃尔·保罗·帕索里尼|奥马尔·沙里夫|卢基诺·维斯康蒂
3,05月31日,托马斯大电影之世界探险记,儿童 / 动画,英国,972人,30236340,大卫·斯特登,蒂娜·德赛|约瑟夫·梅|泰莉莎·加拉赫|凯瑞·莎勒|约翰·哈斯勒|大卫·麦金|金宝·张|彼得·安德烈|露西·蒙格马利
4,05月31日,花儿与歌声,剧情 / 儿童 / 家庭,中国大陆,136人,33393269,王蕾,魏歆惠|刘晨毅|王润泽|曹一诺|周琳翌|周北辰|曹德祥|郑陈皓淼
5,05月31日,好小子，好功夫,剧情 / 儿童 / 喜剧,中国大陆,81人,30394015,崔喆|胡方易|李木子,巩汉林|孙茜|林威|郑昊|李沛泽
6,06月01日,哆啦A梦：大雄的月球探险记,剧情 / 动画,日本,6893人,30249161,八锹新之介,水田山葵|大原惠美|嘉数由美|木村昴|关智一|柳乐优弥|广濑爱丽丝|三石琴乃|松本保典|吉田钢太郎|皆川纯子
7,06月01日,巧虎大飞船历险记,喜剧 / 动画 / 冒险,中国大陆,235人,33403736,河村友宏|王臻,李晔|沈达威|罗玉婷|王晓彤|孙晔|李敏妍
8,06月01日,潜艇总动员：外星宝贝计划,喜剧 / 动画 / 冒险,中国大陆,152人,33416898,申宇|张超,范楚绒|洪海天|李晔|贾邱|胡谦|谭满堂|周南飞|王燕华|王晓彤|徐慧|时佳|赵国卿|严丽祯
9,06月01日,噬魂剑,动作 / 悬疑 / 惊悚,中国大陆,138人,33394819,李飞,黄军荣|余丽|马永康
10,06月04日,直播攻略,喜剧 / 爱情,中国大陆,90人,33442049,胡笳|周彤|代梦颖,张子贤|金士杰|陈叶生|蒋沁芸
11,06月05日,无所不能,动作 / 犯罪 / 悬疑,印度,3144人,26876252,Sanjay Gupta,赫里尼克·罗斯汉|亚米·高塔姆|洛尼特·罗伊|罗伊特·罗伊|吉里什·库卡尼|沙棘·乔杜里|赫希尔德拉·米什拉|玉尔娃希.拉吾塔拉|Narendra Jha|Sahidur Rahaman|Suresh Menon|Asif Ali Baig|Helena Fonseca|Palvi Jaswal|Rockey Raina
12,06月06日,X战警：黑凤凰,动作 / 科幻 / 冒险,美国,78567人,26667010,西蒙·金伯格,苏菲·特纳|詹姆斯·麦卡沃伊|迈克尔·法斯宾德|詹妮弗·劳伦斯|尼古拉斯·霍尔特|杰西卡·查斯坦|埃文·彼得斯|柯蒂·斯密特-麦菲|伊万·乔尼凯特|泰伊·谢里丹|亚历山德拉·希普|丹尼尔·库德摩尔|奥托·艾森度|莎莫·芳塔娜|斯科特· 谢泼德|拉马尔·约翰逊|泰勒·艾略特·伯克|安德鲁·斯特林|朱利安·拜利|毛里齐奥·泰拉扎诺|乔什·麦克拉伦|格雷格·洛|塞巴斯蒂安·麦克莱恩|沙维尔·索特洛|凯伦·伊万尼|奥利维耶·拉玛舒|西蒙·阿兰|亚历山大·贝朗格
13,06月06日,追龙Ⅱ,剧情 / 动作 / 犯罪,香港 / 中国大陆,14218人,30175306,王晶|关智耀,梁家辉|古天乐|林家栋|邱意浓|叶相明|任达华|杜江|余安安|韦家雄|陈伟雄|黄竣锋|王宝葆
14,06月06日,最好的我们,剧情 / 爱情,中国大陆,4646人,26266919,章笛沙,陈飞宇|何蓝逗|惠英红|周楚濋|蒋紫嫣 |王初伊|陈帅|方文强|高文峰
15,06月06日,当我们海阔天空,剧情,中国大陆,3248人,33413636,陈静|娄毅,刘秋实|刘奕畅|何琢言|郑罗茜|蒋冰|侯雪龙
16,06月07日,街舞青春,剧情 / 爱情,中国大陆,44人,33455041,李小杰,黄鸿升|李妍心|纪源|郑如晶|徐俊
17,06月07日,星际侠探,科幻 / 动画 / 冒险,中国大陆,31人,33454287,,
18,06月13日,绝杀慕尼黑,剧情 / 运动,俄罗斯,4160人,27024959,安东·梅格尔季切夫,弗拉基米尔·马什科夫|约翰·萨维奇|马拉特·巴沙罗夫|谢尔盖·加尔马什|伊万·科列斯尼科夫|亚历山德拉·雷文科|詹姆斯·托拉斯|基里尔·扎耶采夫|安德烈·斯莫利亚科夫
19,06月14日,黑衣人：全球追缉,喜剧 / 动作 / 科幻,美国,24868人,19971676,F·加里·格雷,克里斯·海姆斯沃斯|泰莎·汤普森|丽贝卡·弗格森|库梅尔·南贾尼|拉菲·斯波|艾玛·汤普森|连姆·尼森|戴维娜·西塔拉姆|纳西尔·贾玛|维克托里娅·菲斯|佩内洛普·卡普迪雅|斯蒂芬·怀特|安纳托·陶布曼|露丝·霍洛克斯|贝恩·科拉科|马西·哈里尔|哈廷·帕特尔|通恰伊·古奈什|艾德里安·阿尔瓦拉多|史蒂芬·萨姆森|曼迪娅·弗罗里
20,06月14日,妈阁是座城,剧情,中国大陆,6723人,26304201,李少红,白百何|黄觉|吴刚|刘嘉玲|梁天|钱小豪|彭敬慈|魏璐|耿乐|于小彤|苏小明|胡先煦|曾志伟
21,06月14日,侣行攻略之确认你是我的人,喜剧 / 爱情,中国大陆,5017人,26760601,张力,谭卓|赵英俊|张磊|杜天皓|巴多|董立范|尹熙水|尹嘉萱|阿帕尔江|草莓
22,06月14日,秦明·生死语者,犯罪 / 悬疑,中国大陆,4474人,27090753,李海蜀|黄彦威,严屹宽|代斯|耿乐|郝劭文|杜鹃|秦明
23,06月14日,白牙,动画 / 冒险,法国 / 卢森堡,3718人,27621991,亚历山大·埃斯皮加雷斯,尼克·奥弗曼|拉什达·琼斯|保罗·吉亚玛提|弗卢拉·博格|史蒂芬·克雷默·格利克曼|多米尼克·皮侬|维尔日妮·埃菲拉|艾迪·斯皮尔斯|拉斐尔·佩尔索纳|大卫·博特|汤姆·莫顿
24,06月14日,要活着去天堂,剧情,中国大陆,2578人,33447611,李京刚,杜玉明|朱瑞祥|朱雅纯|周飘|于春华|林佳欣雨|俞泓安|张海东|孙佳蕊
25,06月14日,美丽战争,剧情 / 动作,中国大陆,2408人,27204589,陈勋奇,谭耀文|孟广美|马国明|那广子|罗彬
26,06月14日,冠军的心,剧情 / 运动,中国大陆,513人,26587411,刘奋斗,杨坤|夏梓桐|余皑磊
27,06月14日,古窑迷踪,惊悚 / 恐怖,中国大陆,93人,33381471,袁杰,郭雪芙|罗彬|刘永奇|刘雨均|王奕斐|扈天翼
28,06月14日,三流勇士,剧情 / 动作,中国大陆,54人,33424383,张太海,淳于珊珊|黎心韵|徐丽萩莎
29,06月15日,废柴老爸,喜剧 / 家庭,中国大陆,96人,26873573,冯超,王迅|黄灿灿|梁超|张伦硕|何雄飞|邹轩琦|代乐乐|九孔|许可嘉
30,06月18日,大河唱,纪录片 / 音乐,中国大陆,465人,30227699,柯永权|杨植淳|和渊,苏阳|刘世凯|张进来|魏宗富|马风山
31,06月18日,三年,剧情,中国大陆,38人,33444431,陈江,高明|马文波|肖聪|宋若冰|邹笨笨|储毅|吴海波|黄立东|张珂玮|赵千阳 |陈快乐
32,06月21日,千与千寻,剧情 / 动画 / 奇幻,日本,116851人,1291561,宫崎骏,柊瑠美|入野自由|夏木真理|菅原文太|中村彰男|玉井夕海|神木隆之介|内藤刚志|泽口靖子|我修院达也|大泉洋|小林郁夫|上条恒彦|小野武彦
33,06月21日,玩具总动员4,喜剧 / 动画 / 奇幻,美国,19422人,6850547,乔什·库雷,汤姆·汉克斯|蒂姆·艾伦|安妮·波茨|托尼·海尔|帕特丽夏·阿奎特|琼·库萨克|基努·里维斯|玛德琳·麦格劳|克里斯汀·沙尔|劳里·梅特卡夫|邦尼·亨特|裘蒂·班森|罗里·艾伦|杰夫·格尔林|布莱克·克拉克|巴德·乐凯|爱丝黛儿·哈里斯|杰夫·皮金
34,06月21日,碟仙,惊悚 / 恐怖,中国大陆,3024人,27073079,廉涛,黄奕|范逸臣|程小夏|吴烨|马卷卷|刘晨霞|曾韵蓁|何佳颖|张天柏|鹿嘉豪
35,06月21日,真相漩涡,剧情 / 悬疑 / 惊悚,美国 / 瑞典,2253人,26792540,西蒙·凯瑟,盖·皮尔斯|皮尔斯·布鲁斯南|明妮·德里弗|奥德娅·拉什|克拉克·格雷格|亚历山德拉·希普|杰米·肯尼迪|斯特灵·比尤芒|芙蕾雅·廷利|卡尔洛·罗塔|肖恩·布莱克默
36,06月21日,我的青春都是你,喜剧 / 爱情,中国大陆 / 台湾,1805人,26923506,周彤|代梦颖,宋芸桦|宋威龙|林妍柔|金士杰|黄俊捷|森竣|林敬伦|侯彦西|徐以腾|孙千|代梦颖
37,06月21日,红花绿叶,剧情 / 爱情,中国大陆,735人,30174535,刘苗苗|胡维捷,马思琪|罗克旺|张玲|张静|张守盘
38,06月21日,他她他她,剧情 / 悬疑,中国大陆,143人,33447827,刘一,范文芳|李铭顺|戚玉武|姬他|卢洋洋|希童
39,06月21日,八子,动作 / 历史 / 战争,中国大陆,138人,30463515,高希希,刘端端|邵兵|岳红|何润东|程媛媛|于滨|高强
40,06月25日,潜行者,喜剧 / 动作 / 爱情,中国大陆 / 香港,144人,26827641,吕冠南|谭广源,吴建豪|安志杰|伍允龙|蒋璐霞|吴家丽|赵慧珊|邵音音|冯文娟|迟帅|孟佳|林雪
41,06月27日,少年的你,剧情 / 爱情,中国大陆,42972人,30166972,曾国祥,周冬雨|易烊千玺|尹昉|黄觉|吴越|周也|张耀|张艺凡|赵润南
